id,color_hex,brand,product_line,shade_name,product_type,color_rgb,color_hsl,color_lab_l,color_lab_a,color_lab_b,brightness,saturation,hue_degree,undertone,undertone_confidence,color_depth,color_family,color_family_confidence,finish,finish_confidence,recommended_skin_undertone,recommended_skin_depth,seasonal_palette
anastasia-beverly-hills-griffin,#6c5658,Anastasia Beverly Hills,Matte Lipstick,Griffin,lipstick,"{""r"":108,""g"":86,""b"":88}","{""h"":354.55,""s"":11.34,""l"":38.04}",38.8097,9.4169,2.2841,38.81,11.34,354.55,neutral,0.8944,deep,rose,0.5198,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-dread,#906151,Anastasia Beverly Hills,Matte Lipstick,Dread,lipstick,"{""r"":144,""g"":97,""b"":81}","{""h"":15.24,""s"":28.0,""l"":44.12}",45.7354,17.0534,16.8614,45.74,28.0,15.24,warm,0.99,medium,terracotta,0.99,matte,0.99,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-cool-brown,#875242,Anastasia Beverly Hills,Matte Lipstick,Cool Brown,lipstick,"{""r"":135,""g"":82,""b"":66}","{""h"":13.91,""s"":34.33,""l"":39.41}",40.5407,20.3052,18.7164,40.54,34.33,13.91,warm,0.6722,deep,brown,0.8711,matte,0.99,"[""warm"",""neutral""]","[""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-dead-roses,#9b5f5f,Anastasia Beverly Hills,Matte Lipstick,Dead Roses,lipstick,"{""r"":155,""g"":95,""b"":95}","{""h"":0.0,""s"":24.0,""l"":49.02}",46.9492,24.4485,10.3739,46.95,24.0,0.0,neutral,0.5409,medium,rose,0.5198,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-honey,#e7b2a4,Anastasia Beverly Hills,Matte Lipstick,Honey,lipstick,"{""r"":231,""g"":178,""b"":164}","{""h"":12.54,""s"":58.26,""l"":77.45}",76.9886,17.2963,14.5865,76.99,58.26,12.54,warm,0.99,fair,coral,0.99,matte,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium""]",spring
anastasia-beverly-hills-midnight,#221e1f,Anastasia Beverly Hills,Matte Lipstick,Midnight,lipstick,"{""r"":34,""g"":30,""b"":31}","{""h"":345.0,""s"":6.25,""l"":12.55}",11.7401,2.1509,0.0136,11.74,6.25,345.0,cool,0.9315,deep,rose,0.4713,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-spice,#9e5147,Anastasia Beverly Hills,Matte Lipstick,Spice,lipstick,"{""r"":158,""g"":81,""b"":71}","{""h"":6.9,""s"":37.99,""l"":44.9}",43.6696,30.8981,20.4246,43.67,37.99,6.9,warm,0.99,medium,chili,0.45,matte,0.99,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-peachy,#c2715c,Anastasia Beverly Hills,Matte Lipstick,Peachy,lipstick,"{""r"":194,""g"":113,""b"":92}","{""h"":12.35,""s"":45.54,""l"":56.08}",56.143,29.8001,25.4455,56.14,45.54,12.35,warm,0.99,medium,rose,0.35,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
anastasia-beverly-hills-soft-pink,#cf666b,Anastasia Beverly Hills,Matte Lipstick,Soft Pink,lipstick,"{""r"":207,""g"":102,""b"":107}","{""h"":357.14,""s"":52.24,""l"":60.59}",55.9204,41.9147,16.8111,55.92,52.24,357.14,warm,0.99,medium,pink,0.45,matte,0.99,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",spring
anastasia-beverly-hills-buff,#b16862,Anastasia Beverly Hills,Matte Lipstick,Buff,lipstick,"{""r"":177,""g"":104,""b"":98}","{""h"":4.56,""s"":33.62,""l"":53.92}",51.9859,28.5409,16.0155,51.99,33.62,4.56,warm,0.99,medium,nude,0.45,matte,0.99,"[""warm"",""cool"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-plumeria,#8f1f4d,Anastasia Beverly Hills,Matte Lipstick,Plumeria,lipstick,"{""r"":143,""g"":31,""b"":77}","{""h"":335.36,""s"":64.37,""l"":34.12}",32.6066,49.1454,0.9302,32.61,64.37,335.36,cool,0.99,deep,berry,0.6881,matte,0.99,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
anastasia-beverly-hills-latte,#985c52,Anastasia Beverly Hills,Matte Lipstick,Latte,lipstick,"{""r"":152,""g"":92,""b"":82}","{""h"":8.57,""s"":29.91,""l"":45.88}",45.5525,23.4057,16.1885,45.55,29.91,8.57,warm,0.99,medium,milk-tea,0.45,matte,0.99,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-smoke,#60656b,Anastasia Beverly Hills,Matte Lipstick,Smoke,lipstick,"{""r"":96,""g"":101,""b"":107}","{""h"":212.73,""s"":5.42,""l"":39.8}",42.5448,-0.6073,-4.0465,42.54,5.42,212.73,cool,0.6265,medium,rose,0.35,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-ruby,#a02528,Anastasia Beverly Hills,Matte Lipstick,Ruby,lipstick,"{""r"":160,""g"":37,""b"":40}","{""h"":358.54,""s"":62.44,""l"":38.63}",35.8924,49.7527,29.6281,35.89,62.44,358.54,warm,0.99,deep,red,0.7691,matte,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
anastasia-beverly-hills-insomniac,#3c8d87,Anastasia Beverly Hills,Matte Lipstick,Insomniac,lipstick,"{""r"":60,""g"":141,""b"":135}","{""h"":175.56,""s"":40.3,""l"":39.41}",53.7694,-26.0426,-4.2413,53.77,40.3,175.56,cool,0.99,medium,rose,0.35,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",summer
anastasia-beverly-hills-cobalt,#202871,Anastasia Beverly Hills,Matte Lipstick,Cobalt,lipstick,"{""r"":32,""g"":40,""b"":113}","{""h"":234.07,""s"":55.86,""l"":28.43}",20.1099,22.9849,-43.223,20.11,55.86,234.07,cool,0.99,deep,rose,0.35,matte,0.99,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
anastasia-beverly-hills-resin,#765b60,Anastasia Beverly Hills,Matte Lipstick,Resin,lipstick,"{""r"":118,""g"":91,""b"":96}","{""h"":348.89,""s"":12.92,""l"":40.98}",41.4989,11.8958,1.384,41.5,12.92,348.89,cool,0.9315,deep,rose,0.4713,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-brandy,#612a23,Anastasia Beverly Hills,Matte Lipstick,Brandy,lipstick,"{""r"":97,""g"":42,""b"":35}","{""h"":6.77,""s"":46.97,""l"":25.88}",24.7004,24.3326,16.5014,24.7,46.97,6.77,warm,0.99,deep,rose,0.4845,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
anastasia-beverly-hills-soft-touch,#da7a62,Anastasia Beverly Hills,Matte Lipstick,Soft Touch,lipstick,"{""r"":218,""g"":122,""b"":98}","{""h"":12.0,""s"":61.86,""l"":61.96}",61.4034,34.9665,29.5169,61.4,61.86,12.0,warm,0.99,light,dusty-rose,0.477,matte,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan""]",spring
anastasia-beverly-hills-hollywood,#d26d4f,Anastasia Beverly Hills,Matte Lipstick,Hollywood,lipstick,"{""r"":210,""g"":109,""b"":79}","{""h"":13.74,""s"":59.28,""l"":56.67}",57.2768,37.2026,34.6274,57.28,59.28,13.74,warm,0.99,medium,coral,0.99,matte,0.99,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",spring
anastasia-beverly-hills-sedona,#da6a61,Anastasia Beverly Hills,Matte Lipstick,Sedona,lipstick,"{""r"":218,""g"":106,""b"":97}","{""h"":4.46,""s"":62.05,""l"":61.76}",58.1136,43.0706,25.8061,58.11,62.05,4.46,warm,0.99,light,red,0.65,matte,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
anastasia-beverly-hills-nude,#d98964,Anastasia Beverly Hills,Matte Lipstick,Nude,lipstick,"{""r"":217,""g"":137,""b"":100}","{""h"":18.97,""s"":60.62,""l"":62.16}",64.6172,26.7806,32.5102,64.62,60.62,18.97,warm,0.6722,light,nude,0.4738,matte,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan""]",spring
anastasia-beverly-hills-sweet-pea,#c9727a,Anastasia Beverly Hills,Matte Lipstick,Sweet Pea,lipstick,"{""r"":201,""g"":114,""b"":122}","{""h"":354.48,""s"":44.62,""l"":61.76}",57.9042,35.0538,10.7242,57.9,44.62,354.48,neutral,0.5409,medium,rose,0.5409,matte,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",summer
anastasia-beverly-hills-petal,#d67868,Anastasia Beverly Hills,Matte Lipstick,Petal,lipstick,"{""r"":214,""g"":120,""b"":104}","{""h"":8.73,""s"":57.29,""l"":62.35}",60.5446,34.9819,24.9292,60.54,57.29,8.73,warm,0.99,light,pink,0.5357,matte,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan""]",spring
anna-sui-pale-aqua-hydrangea,#acd7e2,Anna Sui,Sheer Finish Lipstick,Pale Aqua Hydrangea,lipstick,"{""r"":172,""g"":215,""b"":226}","{""h"":192.22,""s"":48.21,""l"":78.04}",83.3689,-11.5639,-10.0207,83.37,48.21,192.22,cool,0.99,fair,rose,0.35,sheer,0.99,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",spring
anna-sui-shiny-coral-cattleya,#b2434a,Anna Sui,Sheer Finish Lipstick,Shiny Coral Cattleya,lipstick,"{""r"":178,""g"":67,""b"":74}","{""h"":356.22,""s"":45.31,""l"":48.04}",44.1992,45.6684,19.8948,44.2,45.31,356.22,warm,0.99,medium,coral,0.45,glossy,0.45,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
anna-sui-orange-red-lilly,#92321b,Anna Sui,Sheer Finish Lipstick,Orange Red Lilly,lipstick,"{""r"":146,""g"":50,""b"":27}","{""h"":11.6,""s"":68.79,""l"":33.92}",34.9497,39.2797,35.2733,34.95,68.79,11.6,warm,0.99,deep,red,0.45,sheer,0.99,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
anna-sui-plum-red-dehlia,#1d0b0b,Anna Sui,Sheer Finish Lipstick,Plum Red Dehlia,lipstick,"{""r"":29,""g"":11,""b"":11}","{""h"":0.0,""s"":45.0,""l"":7.84}",4.7403,7.7021,2.7138,4.74,45.0,0.0,cool,0.99,deep,red,0.6405,sheer,0.99,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
anna-sui-apricot-iris,#aa5842,Anna Sui,Sheer Finish Lipstick,Apricot Iris,lipstick,"{""r"":170,""g"":88,""b"":66}","{""h"":12.69,""s"":44.07,""l"":46.27}",46.8709,31.5271,27.8315,46.87,44.07,12.69,warm,0.99,medium,peach,0.5013,sheer,0.99,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
anna-sui-pink-dianthus,#df5f60,Anna Sui,Full Pigment Lipstick,Pink Dianthus,lipstick,"{""r"":223,""g"":95,""b"":96}","{""h"":359.53,""s"":66.67,""l"":62.35}",56.803,50.0823,24.8026,56.8,66.67,359.53,warm,0.99,medium,pink,0.5357,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",spring
anna-sui-red-pink-camellia,#c72940,Anna Sui,Full Pigment Lipstick,Red Pink Camellia,lipstick,"{""r"":199,""g"":41,""b"":64}","{""h"":351.27,""s"":65.83,""l"":47.06}",44.379,61.2728,26.99,44.38,65.83,351.27,warm,0.99,medium,red,0.69,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
anna-sui-rose-red,#64050b,Anna Sui,Full Pigment Lipstick,Rose Red,lipstick,"{""r"":100,""g"":5,""b"":11}","{""h"":356.21,""s"":90.48,""l"":20.59}",19.4036,39.2679,25.1227,19.4,90.48,356.21,warm,0.65,deep,red,0.53,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
anna-sui-orange-tulip,#ca352f,Anna Sui,Full Pigment Lipstick,Orange Tulip,lipstick,"{""r"":202,""g"":53,""b"":47}","{""h"":2.32,""s"":62.25,""l"":48.82}",46.0587,57.6886,39.0612,46.06,62.25,2.32,warm,0.99,medium,orange,0.5357,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",spring
anna-sui-pale-pink-peony,#cc6a5c,Anna Sui,Full Pigment Lipstick,Pale Pink Peony,lipstick,"{""r"":204,""g"":106,""b"":92}","{""h"":7.5,""s"":52.34,""l"":58.04}",56.0092,37.4149,25.5309,56.01,52.34,7.5,warm,0.99,medium,pink,0.5357,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",spring
artdeco-724-mat-terracotta,#be6462,ARTDECO,High Performance Lipstick,724 Mat Terracotta,lipstick,"{""r"":190,""g"":100,""b"":98}","{""h"":1.3,""s"":41.44,""l"":56.47}",52.8905,35.746,17.5406,52.89,41.44,1.3,warm,0.99,medium,terracotta,0.45,satin,0.5088,"[""warm"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",autumn
artdeco-738-mat-crimson-red,#71212e,ARTDECO,High Performance Lipstick,738 Mat Crimson Red,lipstick,"{""r"":113,""g"":33,""b"":46}","{""h"":350.25,""s"":54.79,""l"":28.63}",26.1477,36.0529,11.6187,26.15,54.79,350.25,neutral,0.5409,deep,red,0.9339,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-749-mat-garnet-red,#60232b,ARTDECO,High Performance Lipstick,749 Mat Garnet Red,lipstick,"{""r"":96,""g"":35,""b"":43}","{""h"":352.13,""s"":46.56,""l"":25.69}",23.2166,28.5043,9.1337,23.22,46.56,352.13,neutral,0.99,deep,red,0.65,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-762-mat-grape-juice,#72374b,ARTDECO,High Performance Lipstick,762 Mat Grape Juice,lipstick,"{""r"":114,""g"":55,""b"":75}","{""h"":339.66,""s"":34.91,""l"":33.14}",31.3905,28.3894,-0.1563,31.39,34.91,339.66,cool,0.99,deep,mauve,0.4786,satin,0.5088,"[""cool"",""neutral""]","[""medium"",""tan"",""deep""]",summer
artdeco-801,#d52122,ARTDECO,Perfect Colour Lipstick,801,lipstick,"{""r"":213,""g"":33,""b"":34}","{""h"":359.67,""s"":73.17,""l"":48.24}",46.1154,66.0465,46.7706,46.12,73.17,359.67,warm,0.99,medium,red,0.65,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
artdeco-803,#972223,ARTDECO,Perfect Colour Lipstick,803,lipstick,"{""r"":151,""g"":34,""b"":35}","{""h"":359.49,""s"":63.24,""l"":36.27}",33.6619,47.7123,29.6552,33.66,63.24,359.49,warm,0.99,deep,red,0.45,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
artdeco-806,#791a20,ARTDECO,Perfect Colour Lipstick,806,lipstick,"{""r"":121,""g"":26,""b"":32}","{""h"":356.21,""s"":64.63,""l"":28.82}",26.4749,40.6566,21.674,26.47,64.63,356.21,warm,0.99,deep,red,0.45,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
artdeco-809,#601e22,ARTDECO,Perfect Colour Lipstick,809,lipstick,"{""r"":96,""g"":30,""b"":34}","{""h"":356.36,""s"":52.38,""l"":24.71}",22.0582,30.254,13.7328,22.06,52.38,356.36,warm,0.99,deep,red,0.45,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-812,#3f1e22,ARTDECO,Perfect Colour Lipstick,812,lipstick,"{""r"":63,""g"":30,""b"":34}","{""h"":352.73,""s"":35.48,""l"":18.24}",16.0089,16.5089,4.5142,16.01,35.48,352.73,neutral,0.99,deep,rose,0.5409,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-818,#91384a,ARTDECO,Perfect Colour Lipstick,818,lipstick,"{""r"":145,""g"":56,""b"":74}","{""h"":347.87,""s"":44.28,""l"":39.41}",36.6387,39.2156,8.6765,36.64,44.28,347.87,cool,0.7,deep,rose,0.4669,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-820,#884b53,ARTDECO,Perfect Colour Lipstick,820,lipstick,"{""r"":136,""g"":75,""b"":83}","{""h"":352.13,""s"":28.91,""l"":41.37}",39.3983,26.7198,6.7004,39.4,28.91,352.13,neutral,0.99,deep,rose,0.5198,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-823,#602e39,ARTDECO,Perfect Colour Lipstick,823,lipstick,"{""r"":96,""g"":46,""b"":57}","{""h"":346.8,""s"":35.21,""l"":27.84}",25.9714,23.9739,3.5251,25.97,35.21,346.8,cool,0.7,deep,rose,0.4669,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-826,#713e43,ARTDECO,Perfect Colour Lipstick,826,lipstick,"{""r"":113,""g"":62,""b"":67}","{""h"":354.12,""s"":29.14,""l"":34.31}",32.6173,22.8599,6.7661,32.62,29.14,354.12,neutral,0.99,deep,rose,0.5409,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-830,#94494f,ARTDECO,Perfect Colour Lipstick,830,lipstick,"{""r"":148,""g"":73,""b"":79}","{""h"":355.2,""s"":33.94,""l"":43.33}",40.6173,32.0808,11.1552,40.62,33.94,355.2,neutral,0.5409,deep,rose,0.5198,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-854,#8f5d54,ARTDECO,Perfect Colour Lipstick,854,lipstick,"{""r"":143,""g"":93,""b"":84}","{""h"":9.15,""s"":25.99,""l"":44.51}",44.6738,19.318,13.5972,44.67,25.99,9.15,warm,0.99,medium,rose,0.5198,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-885,#933f4f,ARTDECO,Perfect Colour Lipstick,885,lipstick,"{""r"":147,""g"":63,""b"":79}","{""h"":348.57,""s"":40.0,""l"":41.18}",38.4182,36.9692,8.0576,38.42,40.0,348.57,cool,0.7,deep,rose,0.4645,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-898,#c45856,ARTDECO,Perfect Colour Lipstick,898,lipstick,"{""r"":196,""g"":88,""b"":86}","{""h"":1.09,""s"":48.25,""l"":55.29}",51.1409,43.0413,22.404,51.14,48.25,1.09,warm,0.99,medium,red,0.65,satin,0.5088,"[""warm"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-915,#ab4157,ARTDECO,Perfect Colour Lipstick,915,lipstick,"{""r"":171,""g"":65,""b"":87}","{""h"":347.55,""s"":44.92,""l"":46.27}",42.9572,45.2721,10.0097,42.96,44.92,347.55,cool,0.7,medium,rose,0.4713,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-922,#a42749,ARTDECO,Perfect Colour Lipstick,922,lipstick,"{""r"":164,""g"":39,""b"":73}","{""h"":343.68,""s"":61.58,""l"":39.8}",37.5302,52.2966,11.0777,37.53,61.58,343.68,cool,0.7,deep,berry,0.4803,satin,0.5088,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
artdeco-931,#4a1325,ARTDECO,Perfect Colour Lipstick,931,lipstick,"{""r"":74,""g"":19,""b"":37}","{""h"":340.36,""s"":59.14,""l"":18.24}",15.7763,27.6361,2.2988,15.78,59.14,340.36,cool,0.85,deep,rose,0.99,satin,0.5088,"[""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",winter
artdeco-935,#673743,ARTDECO,Perfect Colour Lipstick,935,lipstick,"{""r"":103,""g"":55,""b"":67}","{""h"":345.0,""s"":30.38,""l"":30.98}",29.4675,22.8964,2.0677,29.47,30.38,345.0,cool,0.7,deep,rose,0.4667,satin,0.5088,"[""warm"",""cool"",""neutral""]","[""fair"",""light"",""medium"",""tan"",""deep""]",autumn
artdeco-939,#7e475e,ARTDECO,Perfect Colour Lipstick,939,lipstick,"{""r"":126,""g"":71,""b"":94}","{""h"":334.91,""s"":27.92,""l"":38.63}",37.3921,26.6693,-3.2751,37.39,27.92,334.91,cool,0.99,deep,mauve,0.99,satin,0.5088,"[""cool"",""neutral""]","[""medium"",""tan"",""deep""]",summer
artdeco-944,#9d5079,ARTDECO,Perfect Colour Lipstick,944,lipstick,"{""r"":157,""g"":80,""b"":121}","{""h"":328.05,""s"":32.49,""l"":46.47}",44.6424,37.1164,-8.7113,44.64,32.49,328.05,cool,0.99,medium,mauve,0.4696,satin,0.5088,"[""cool"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",summer
artdeco-955,#bc6a80,ARTDECO,Perfect Colour Lipstick,955,lipstick,"{""r"":188,""g"":106,""b"":128}","{""h"":343.9,""s"":37.96,""l"":57.65}",54.6166,35.2562,2.2913,54.62,37.96,343.9,cool,0.7,medium,mauve,0.4675,satin,0.5088,"[""cool"",""neutral""]","[""light"",""medium"",""tan"",""deep""]",summer
